date,unemployment,employment_decline,crime,unemployment_z,employment_decline_z,crime_z,STI
2000-01-01,4.7,1.0,,0.9176184039581412,1.5435114263911989,,1.23056491517467
2000-02-01,4.86,0.9,,1.0748866112077395,1.4537690346156027,,1.264327822911671
2000-03-01,4.85,0.6,,1.0650573482546388,1.184541859288815,,1.124799603771727
2000-04-01,4.79,0.8,,1.00608177053604,1.364026642840007,,1.1850542066880236
2000-05-01,4.63,0.7,,0.8488135632864419,1.2742842510644108,,1.0615489071754263
2000-06-01,4.68,0.6,,0.897959878051941,1.184541859288815,,1.041250868670378
2000-07-01,4.67,0.6,,0.8881306150988414,1.184541859288815,,1.0363362371938283
2000-08-01,4.63,0.7,,0.8488135632864419,1.2742842510644108,,1.0615489071754263
2000-09-01,4.69,1.0,,0.9077891410050416,1.5435114263911989,,1.2256502836981202
2000-10-01,4.67,0.7,19.25,0.8881306150988414,1.2742842510644108,1.239902760585929,1.1341058755830604
2000-11-01,4.74,0.6,19.436666666666667,0.9569354557705408,1.184541859288815,1.2723965703361222,1.1379579617984927
2000-12-01,4.79,0.7,19.623333333333335,1.00608177053604,1.2742842510644108,1.3048903800863156,1.1950854672289222
2001-01-01,4.8,0.8,19.81,1.0159110334891397,1.364026642840007,1.3373841898365082,1.239107288721885
2001-02-01,4.7,0.8,19.996666666666666,0.9176184039581412,1.364026642840007,1.3698779995867016,1.21717434879495
2001-03-01,4.75,0.9,20.183333333333334,0.9667647187236404,1.4537690346156027,1.4023718093368949,1.2743018542253794
2001-04-01,4.83,0.9,20.369999999999997,1.0453988223484396,1.4537690346156027,1.4348656190870877,1.3113444920170434
2001-05-01,4.94,0.8,20.556666666666665,1.1535207148325386,1.364026642840007,1.4673594288372809,1.328302262169942
2001-06-01,4.95,1.0,20.743333333333332,1.1633499777856382,1.5435114263911989,1.4998532385874743,1.4022382142547702
2001-07-01,5.01,0.9,20.93,1.2223255555042372,1.4537690346156027,1.5323470483376675,1.402813879485836
2001-08-01,5.05,1.0,21.116666666666667,1.2616426073166367,1.5435114263911989,1.564840858087861,1.456664963931899
2001-09-01,5.26,1.0,21.30333333333333,1.468057129331734,1.5435114263911989,1.5973346678380536,1.5363010745203287
2001-10-01,5.25,1.0,21.49,1.4582278663786343,1.5435114263911989,1.629828477588247,1.5438559234526934
2001-11-01,5.38,1.2,21.564166666666665,1.5860082847689327,1.7229962099423908,1.642738964497922,1.6505811530697485
2001-12-01,5.43,1.0,21.638333333333332,1.6351545995344319,1.5435114263911989,1.655649451407597,1.6114384924444092
2002-01-01,5.23,0.9,21.7125,1.4385693404724351,1.4537690346156027,1.6685599383172718,1.5202994378017698
2002-02-01,5.31,0.9,21.786666666666665,1.5172034440972333,1.4537690346156027,1.6814704252269468,1.5508143013132611
2002-03-01,5.31,1.1,21.860833333333332,1.5172034440972333,1.6332538181667948,1.6943809121366218,1.61494605813355
