date,discretionary_share,discretionary,total_consumption
2009-04-01,23.238884899131683,71190.0,306340.0
2009-05-01,24.93818512940847,71206.0,285530.0
2009-06-01,24.30086893163611,67371.0,277237.0
2009-07-01,25.474080777892365,72621.0,285078.0
2009-08-01,25.632706927127007,74584.0,290972.0
2009-09-01,23.886904117498467,66193.0,277110.0
2009-10-01,23.66004260065534,68091.0,287789.0
2009-11-01,25.267963756409355,71948.0,284740.0
2009-12-01,24.401057158162345,82448.0,337887.0
2010-01-01,23.501120177584117,68604.0,291918.0
2010-02-01,22.588957853907328,58994.0,261163.0
2010-03-01,23.36159454484657,74755.0,319991.0
2010-04-01,22.46463286177149,67393.0,299996.0
2010-05-01,24.688116730907613,69303.0,280714.0
2010-06-01,24.516264367400378,67786.0,276494.0
2010-07-01,25.298835505513996,72171.0,285274.0
2010-08-01,24.830158064637086,72842.0,293361.0
2010-09-01,23.26349925735473,64060.0,275367.0
2010-10-01,25.176301955586172,72365.0,287433.0
2010-11-01,26.6178064261889,75651.0,284212.0
2010-12-01,24.341755197152345,79599.0,327006.0
2011-01-01,22.641783457991433,65478.0,289191.0
2011-02-01,22.224139451595708,57959.0,260793.0
2011-03-01,21.396026036313806,62455.0,291900.0
2011-04-01,22.31823324525993,65294.0,292559.0
2011-05-01,23.978577558580383,66219.0,276159.0
2011-06-01,24.99181737125057,66430.0,265807.0
2011-07-01,26.128207508766415,73171.0,280046.0
2011-08-01,24.119528524013504,68019.0,282008.0
2011-09-01,22.738417095663124,61396.0,270010.0
2011-10-01,23.984524080460776,68501.0,285605.0
2011-11-01,24.264523018856885,66346.0,273428.0
2011-12-01,23.65276761765423,77600.0,328080.0
2012-01-01,22.634605331939362,64084.0,283124.0
2012-02-01,21.497825315935863,57583.0,267855.0
2012-03-01,22.66711865745571,68872.0,303841.0
2012-04-01,22.33199093883715,67431.0,301948.0
2012-05-01,24.025480096279754,69172.0,287911.0
2012-06-01,23.857529372521405,64370.0,269810.0
2012-07-01,24.32940927301929,68924.0,283295.0
2012-08-01,23.773930554195978,68002.0,286036.0
2012-09-01,22.614874111846422,60315.0,266705.0
2012-10-01,24.11887221272314,68555.0,284238.0
2012-11-01,24.491182443785338,67050.0,273772.0
2012-12-01,23.63191722069974,76920.0,325492.0
2013-01-01,22.183612866606214,64096.0,288934.0
2013-02-01,21.39993062264313,57373.0,268099.0
2013-03-01,22.238001556144557,70309.0,316166.0
2013-04-01,22.722762844057794,69164.0,304382.0
2013-05-01,24.50188762103086,69185.0,282366.0
2013-06-01,25.29415258074813,68147.0,269418.0
2013-07-01,25.371026711126955,72586.0,286098.0
2013-08-01,24.904267054516836,70889.0,284646.0
2013-09-01,22.50865717583686,63180.0,280692.0
2013-10-01,23.34523662084245,67859.0,290676.0
2013-11-01,24.691464016655576,69024.0,279546.0
2013-12-01,23.718054139394138,79321.0,334433.0
2014-01-01,23.183088161039485,68870.0,297070.0
2014-02-01,20.965830238925772,55897.0,266610.0
2014-03-01,24.481028708064716,84568.0,345443.0
2014-04-01,22.15952154788658,66953.0,302141.0
2014-05-01,25.10288823960709,68132.0,271411.0
2014-06-01,24.50923967432943,66859.0,272791.0
2014-07-01,24.159361810676685,67717.0,280293.0
2014-08-01,24.78449192553629,69923.0,282124.0
2014-09-01,22.860848902356608,62919.0,275226.0
2014-10-01,22.794797958271392,65781.0,288579.0
2014-11-01,24.976183764998876,70001.0,280271.0
2014-12-01,23.156308012624752,76963.0,332363.0
2015-01-01,21.827722902082822,63267.0,289847.0
2015-02-01,21.052433441754008,55922.0,265632.0
2015-03-01,22.75685734888012,72271.0,317579.0
2015-04-01,22.577209797657083,67840.0,300480.0
2015-05-01,24.696525889125905,70739.0,286433.0
2015-06-01,24.296487649449848,65273.0,268652.0
2015-07-01,25.642223260158804,71919.0,280471.0
2015-08-01,24.665471431122835,71815.0,291156.0
2015-09-01,23.22271598817392,63702.0,274309.0
2015-10-01,23.77080817702487,67129.0,282401.0
2015-11-01,24.480729540231568,66898.0,273268.0
2015-12-01,23.578336800165907,75039.0,318254.0
2016-01-01,22.61605207617814,63545.0,280973.0
2016-02-01,20.92343961982993,56446.0,269774.0
2016-03-01,23.034075689041476,69307.0,300889.0
2016-04-01,22.47387109741391,67089.0,298520.0
2016-05-01,25.228952513421355,71102.0,281827.0
2016-06-01,24.62823003840093,64391.0,261452.0
2016-07-01,25.573333045632886,71111.0,278067.0
2016-08-01,24.81019620899044,68560.0,276338.0
2016-09-01,23.473058823969843,62701.0,267119.0
2016-10-01,24.2597380488791,68403.0,281961.0
2016-11-01,23.761297849716446,64357.0,270848.0
2016-12-01,22.640413453568108,72107.0,318488.0
2017-01-01,23.23481910409706,64883.0,279249.0
2017-02-01,20.75551326713832,54098.0,260644.0
2017-03-01,23.320646300286633,69482.0,297942.0
2017-04-01,23.03660675364699,68172.0,295929.0
2017-05-01,24.057430331807133,68096.0,283056.0
2017-06-01,23.90942031681312,64269.0,268802.0
2017-07-01,25.501706680229375,71200.0,279197.0
2017-08-01,24.666452625570777,69145.0,280320.0
2017-09-01,22.906079567860356,61572.0,268802.0
2017-10-01,22.775672388925024,64426.0,282872.0
2017-11-01,24.625307811840884,68301.0,277361.0
2017-12-01,23.400081326806497,75385.0,322157.0
2018-01-01,22.734662740806964,65863.0,289703.0
